"subj","subj_rand","trial_1","trial_2","trial_3","mean_dtd"
"ZCNG","5ep7hfue",10,8,9,9
"GVLB","o7tp4kjo",1,5,5,3.66666666666667
"GFKQ","vo6vq7y1",1,3,4,2.66666666666667
"VXQF","wlzlpqz4",1,1,1,1
"HCVB","sbew4btr",3,5,6,4.66666666666667
"HCXG","we2qh0sh",2,3,2,2.33333333333333
"ZNKC","74bf3m0q",4,6,6,5.33333333333333
"FMXR","7dtk0shd",4,9,9,7.33333333333333
"YTML","e4lntcvs",3,3,3,3
"QKGD","6wl0j282",5,7,7,6.33333333333333
"RZLY","6j0qrvn0",3,6,6,5
"YZKH","btehtmxe",8,6,5,6.33333333333333
"KBGR","m2e2cbfz",1,1,1,1
"RTDV","76h6dcmw",3,5,3,3.66666666666667
"VQZX","tlf59faa",3,4,5,4
"RYHQ","sfvsu9z9",5,3,4,4
"QHVN","c1ftfawn",8,8,8,8
"LNDP","h73lg3wz",3,3,6,4
"MXGP","xs92wxz8",3,3,1,2.33333333333333
"QTGM","14u631j5",3,2,2,2.33333333333333
"QZKF","g0xyt611",2,8,NA,NA
"NYXL","v4et9074",1,1,1,1
"CPZH","qkah6txm",1,8,7,5.33333333333333
"GLRP","gqy65ebl",2,3,4,3
"NDRL","5d43r354",2,2,3,2.33333333333333
"QDCZ","dd13do8d",2,1,2,1.66666666666667
"XBQK","o6t32g7y",3,3,3,3
"LTZX","hjbvppno",1,3,2,2
"FVYN","jhbshj3f",4,3,5,4
"CHBN","6g56gaaj",5,7,8,6.66666666666667
"NVQM","c6uxk8qv",3,9,8,6.66666666666667
"WQHX","pqb2x6x5",1,3,2,2
"SVZQ","os3yb8vx",4,6,8,6
"XVGB","s738oggn",3,3,3,3
"ZRNG","73jou38b",10,5,4,6.33333333333333
"MDBT","5t2hc498",5,6,6,5.66666666666667
"wvkq","2ge6azk7",3,NA,9,NA
"KFHT","tgyd145u",5,5,5,5
"BZGK","bfew4sm8",NA,NA,10,NA
"BRCW","4v3z4o0b",5,8,9,7.33333333333333
"PHYS","26kdneyp",3,3,3,3
"WQBF","s3uj7ubs",1,1,1,1
"BPVX","bd7jhmfz",2,2,2,2
"GHQC","k6ojlcjs",1,4,7,4
"TQCL","tgrbwe8t",1,3,9,4.33333333333333
"ZWQY","s1qjc350",6,8,10,8
"PYTC","855nvs6k",3,5,6,4.66666666666667
"MHKL","f1u5gf1q",5,6,6,5.66666666666667
"ZXST","4g7v6e7d",2,2,2,2
"LZPK","uvdpal3m",1,1,1,1
"VFTX","29ks2x4w",1,9,9,6.33333333333333
"GFLT","twek0sdo",8,9,9,8.66666666666667
"YKQN","1lwmgdwg",6,8,8,7.33333333333333
"DZFG","m0w3qs7p",5,3,3,3.66666666666667
"WVDQ","td8mznju",7,6,6,6.33333333333333
"DBZM","gscx93q8",3,6,6,5
"GLXR","w79nf3rl",10,10,8,9.33333333333333
"DCSK","qe40nkh0",1,3,2,2
"BFTW","okhwesvk",3,3,5,3.66666666666667
"DRNY","om90j4y1",3,7,7,5.66666666666667
"PNCX","9porkaq5",5,6,6,5.66666666666667
"GQVT","6293bbp4",3,6,5,4.66666666666667
"NVPY","pyn6e7gj",3,3,5,3.66666666666667
"VFZY","33tozj6x",4,5,8,5.66666666666667
"VZFR","tyky7leg",NA,8,8,NA
"NSVX","xprty6m0",3,6,3,4
"SKGV","hecnh0ut",4,5,3,4
"SXWH","5w963s48",1,1,1,1
"SWKN","lbj5tn6q",1,1,1,1
"THKY","ow1caqep",5,8,7,6.66666666666667
"XLVP","5r37oq3k",3,5,3,3.66666666666667
"FGYC","8etzv69z",1,1,1,1
"KXZM","8wj7qeve",2,3,3,2.66666666666667
"WNHG","aju3mfgu",NA,8,9,NA
"CBTN","x3re66j3",3,5,5,4.33333333333333
"TXYK","rchor67r",1,4,5,3.33333333333333
"RBWH","t10q6aq3",3,4,5,4
"GBXV","3fxd4fn5",6,3,7,5.33333333333333
"GXFY","6d71s0fl",1,1,1,1
"NPKB","0vts85qs",1,1,1,1
"VXLQ","oafhd8f1",3,3,3,3
"HRZP","7vwmzyr2",9,10,10,9.66666666666667
"SVNG","hr3oj0vo",3,9,9,7
"YHSR","q4u4c9oj",NA,NA,9,NA
"SDXY","o5x2v93k",5,5,6,5.33333333333333
"KTBH","g5plj0me",9,9,10,9.33333333333333
"RLBQ","mh8acbtz",3,NA,5,NA
"ZVPW","ay746f11",3,2,5,3.33333333333333
"BKGH","1rhy4cor",3,3,3,3
"SLPW","c4cgg4ku",1,1,1,1
"YTLW","z0lz3tqf",5,5,5,5
"CTSB","dapp525z",3,8,NA,NA
"NXZB","b5w3kfbd",8,8,8,8
"VLDM","a667whae",3,4,4,3.66666666666667
"TKQB","rkgk47k3",7,10,10,9
"MHVX","af1xh54r",2,3,3,2.66666666666667
"KFTZ","khmkvooq",3,5,5,4.33333333333333
"FYQK","793horys",8,9,10,9
"FNYS","3b6e4ruo",5,8,10,7.66666666666667
"SGXY","qhr84of1",5,6,8,6.33333333333333
"SVNC","aaj4pbxo",3,3,4,3.33333333333333
"QDCW","ugcsshch",3,3,3,3
