"exp","subj","task","Conservative","Liberal","cshift"
"Exp. 1","AAWL","Strategic",0.351839381219278,-0.307686452220509,0.659525833439787
"Exp. 1","AAWL","FPF",0,-0.468564648814262,0.468564648814262
"Exp. 1","ADDR","Strategic",0.607120776124869,-0.563537897594432,1.1706586737193
"Exp. 1","ADDR","FPF",1.35552230544938,0.342631965641155,1.01289033980823
"Exp. 1","ADDV","Strategic",0.0235605572225092,-0.270443615333282,0.294004172555791
"Exp. 1","ADDV","FPF",0.269275041034941,-0.128519681683784,0.397794722718725
"Exp. 1","APGL","Strategic",-0.0223058026508451,-0.421863538483413,0.399557735832568
"Exp. 1","APGL","FPF",-0.0113419174937731,-0.44235761631672,0.431015698822947
"Exp. 1","ARNE","Strategic",0.384486817687038,-0.921417854794656,1.30590467248169
"Exp. 1","ARNE","FPF",0.190987230185183,-0.44726359850351,0.638250828688693
"Exp. 1","ARYV","Strategic",0.499795095821212,-0.118772486682371,0.618567582503583
"Exp. 1","ARYV","FPF",0.820776491597033,0.742187793426748,0.0785886981702845
"Exp. 1","BDIL","Strategic",0.258276105251829,-0.384486817687038,0.642762922938867
"Exp. 1","BDIL","FPF",0.214587805303819,-0.868252455425264,1.08284026072908
"Exp. 1","BDVL","Strategic",0.374053881587962,-0.422439350214285,0.796493231802247
"Exp. 1","BDVL","FPF",0.452518170503408,-0.614307668701391,1.0668258392048
"Exp. 1","CESC","Strategic",0.725834576654946,-0.289614470148537,1.01544904680348
"Exp. 1","CESC","FPF",0.61959040836419,-0.0231705266504878,0.642760935014678
"Exp. 1","COTV","Strategic",0.525473804738093,-0.578250682243407,1.1037244869815
"Exp. 1","COTV","FPF",0.69276021921588,-1.1410147349897,1.83377495420558
"Exp. 1","CYPT","Strategic",0.073177223239078,-0.307686452220509,0.380863675459587
"Exp. 1","CYPT","FPF",0.29423021542534,0.453123018430428,-0.158892803005089
"Exp. 1","DDJV","Strategic",0.848529669978247,-0.522924221800368,1.37145389177861
"Exp. 1","DDJV","FPF",0.313046193356645,-0.365487465623742,0.678533658980386
"Exp. 1","DEEH","Strategic",0.1125987125048,-0.402456039768261,0.51505475227306
"Exp. 1","DEEH","FPF",0.64297020639323,-0.298766449834806,0.941736656228036
"Exp. 1","DHVC","Strategic",-0.0532100480791081,-0.549095346073888,0.495885297994779
"Exp. 1","DHVC","FPF",-0.0821858456890024,-0.259040669898318,0.176854824209316
"Exp. 1","DJAJ","Strategic",0.374053881587962,-0.421863538483413,0.795917420071375
"Exp. 1","DJAJ","FPF",0.808518306666742,-0.652777692177105,1.46129599884385
"Exp. 1","DKIB","Strategic",-0.0781257592703675,0.0180719820719723,-0.0961977413423397
"Exp. 1","DKIB","FPF",0.164003983154082,0.0987842973426969,0.0652196858113851
"Exp. 1","DUJQ","Strategic",0.284317614415131,0.194402897670333,0.0899147167447972
"Exp. 1","DUJQ","FPF",0.276583069648612,0.0144641272645005,0.262118942384112
"Exp. 1","DWVZ","Strategic",0.60783463258475,-0.30762216373645,0.9154567963212
"Exp. 1","DWVZ","FPF",0.834690943585202,-0.614307668701391,1.44899861228659
"Exp. 1","EDUT","Strategic",0.458749677659452,-0.0478375077258231,0.506587185385275
"Exp. 1","EDUT","FPF",0.454557632419756,-0.156827864283835,0.61138549670359
"Exp. 1","EEIP","Strategic",0.484599704284846,-0.584906275756185,1.06950598004103
"Exp. 1","EEIP","FPF",-0.0113419174937731,-0.0757237234799163,0.0643818059861432
"Exp. 1","EGMM","Strategic",0.405090560741127,-0.43442327337183,0.839513834112958
"Exp. 1","EGMM","FPF",0.457526717887122,-0.0597477233661496,0.517274441253271
"Exp. 1","EIQL","Strategic",0.144715252274022,0.143596847516602,0.00111840475741984
"Exp. 1","EIQL","FPF",0.3806999246591,-0.122819051929436,0.503518976588536
"Exp. 1","EISK","Strategic",0.160093145786275,-0.543273736461703,0.703366882247978
"Exp. 1","EISK","FPF",-0.0586548281207857,0.0793952901549461,-0.138050118275732
"Exp. 1","EJDK","Strategic",0.336511579038471,-0.613005484498709,0.94951706353718
"Exp. 1","EJDK","FPF",0.596406301152528,0.171943443458274,0.424462857694253
"Exp. 1","EMAO","Strategic",1.57882941298086,-2.06786477692519,3.64669418990605
"Exp. 1","EMAO","FPF",0.940778991248331,-2.28962604759902,3.23040503884735
"Exp. 1","ENZE","Strategic",0.323055865240154,-0.0130014502811994,0.336057315521353
"Exp. 1","ENZE","FPF",0.147680021562423,0.0528643967488339,0.0948156248135888
"Exp. 1","EQHC","Strategic",0.42645893890288,-0.297229748719754,0.723688687622634
"Exp. 1","EQHC","FPF",0.22264020396393,0.0972976553816192,0.125342548582311
"Exp. 1","ESBK","Strategic",0.251532809747939,-0.481890926207656,0.733423735955595
"Exp. 1","ESBK","FPF",0.398324932949793,0.0245491865213792,0.373775746428413
"Exp. 1","EZRP","Strategic",0.719822467753106,-0.607120776124869,1.32694324387797
"Exp. 1","EZRP","FPF",0.29508425837804,-0.886970857181231,1.18205511555927
"Exp. 1","FBLT","Strategic",0.842649374213769,-0.607326880039786,1.44997625425355
"Exp. 1","FBLT","FPF",0.635617986030375,0.424073445842753,0.211544540187622
"Exp. 1","FDDG","Strategic",0.245824801818531,-9.86864910777917e-17,0.245824801818531
"Exp. 1","FDDG","FPF",0.107998445261227,0.194659168612442,-0.0866607233512151
"Exp. 1","FGQB","Strategic",0.421571129256284,-0.160093145786275,0.581664275042558
"Exp. 1","FGQB","FPF",0.427183789952871,-0.227245276686251,0.654429066639122
"Exp. 1","FYMC","Strategic",0.277161137383381,0.414046637529614,-0.136885500146233
"Exp. 1","FYMC","FPF",0.205263900231044,0.0984583880528251,0.106805512178219
"Exp. 1","FZXW","Strategic",-0.0975708357775217,0.140107813226184,-0.237678649003706
"Exp. 1","FZXW","FPF",0.132260684581589,-0.0538244580624039,0.186085142643993
"Exp. 1","GITG","Strategic",0.100112886597808,-0.607326880039786,0.707439766637594
"Exp. 1","GITG","FPF",0.191239222197436,-0.561429671759465,0.752668893956901
"Exp. 1","GUPI","Strategic",0.584906275756185,-0.94363235516334,1.52853863091952
"Exp. 1","GUPI","FPF",0.371639382403118,-0.589145748330826,0.960785130733944
"Exp. 1","HCRN","Strategic",0.261455169083162,-0.547299492315543,0.808754661398705
"Exp. 1","HCRN","FPF",0.192607138260363,0.0133206594424048,0.179286478817958
"Exp. 1","HDPY","Strategic",0.330471003057525,0.160803081813811,0.169667921243714
"Exp. 1","HDPY","FPF",-0.159762616835923,0.10892510144915,-0.268687718285073
"Exp. 1","HRQB","Strategic",0.650909758570223,-0.0800054976856466,0.73091525625587
"Exp. 1","HRQB","FPF",-0.0475477072631144,0.102614344867339,-0.150162052130453
"Exp. 1","HYCF","Strategic",0.309840637709485,-0.0767737431725783,0.386614380882064
"Exp. 1","HYCF","FPF",-0.240259129842816,-0.110179525091678,-0.130079604751138
"Exp. 1","IBVV","Strategic",0.0635749893148034,-0.474475788390285,0.538050777705088
"Exp. 1","IBVV","FPF",0.241294082169532,-0.202329147678956,0.443623229848488
"Exp. 1","JMJX","Strategic",0.309870406694243,-0.771298606556624,1.08116901325087
"Exp. 1","JMJX","FPF",0.453444826691331,-1.16546959965992,1.61891442635125
"Exp. 1","JVYU","Strategic",0.630311619505569,0.0115775087846266,0.618734110720942
"Exp. 1","JVYU","FPF",0.401317868137751,0.0877871292727327,0.313530738865018
"Exp. 1","KBLM","Strategic",0.587074500895085,0.227279629525544,0.359794871369541
"Exp. 1","KBLM","FPF",0.536125201531009,0.106735032210382,0.429390169320628
"Exp. 1","KGMJ","Strategic",0.0790092600908561,-0.0416325392944814,0.120641799385337
"Exp. 1","KGMJ","FPF",0.342631965641155,-0.770357658842207,1.11298962448336
"Exp. 1","KKHX","Strategic",0.00695398488790497,-0.323055865240154,0.330009850128059
"Exp. 1","KKHX","FPF",-9.86864910777917e-17,-0.340850180697157,0.340850180697157
"Exp. 1","LJQQ","Strategic",1.02880825629488,-1.13915694715076,2.16796520344564
"Exp. 1","LJQQ","FPF",0.717733314550811,-0.523893339937088,1.2416266544879
"Exp. 1","LOCF","Strategic",0.00695398488790497,-0.0475172476683216,0.0544712325562266
"Exp. 1","LOCF","FPF",0.43380923442009,0.31053780367706,0.123271430743031
"Exp. 1","MBNH","Strategic",-0.0719842084216806,0.0435828785304371,-0.115567086952118
"Exp. 1","MBNH","FPF",0.0713751694336799,-0.130595303732748,0.201970473166428
"Exp. 1","MCIP","Strategic",0.628695258201539,0.61337434543308,0.0153209127684586
"Exp. 1","MCIP","FPF",0.73520530534579,0.429119409470021,0.306085895875769
"Exp. 1","MMZA","Strategic",0.811987859216351,0.244998417502869,0.566989441713482
"Exp. 1","MMZA","FPF",0.567414090445042,0.390411494076936,0.177002596368106
"Exp. 1","MNKG","Strategic",0.182619526345536,-0.364131522252739,0.546751048598276
"Exp. 1","MNKG","FPF",0.499629918041236,-0.785178265510417,1.28480818355165
"Exp. 1","MPNR","Strategic",0.811987859216351,-0.448061807001842,1.26004966621819
"Exp. 1","MPNR","FPF",1.0057606709024,-0.687966131739112,1.69372680264151
"Exp. 1","MXAV","Strategic",0.543273736461703,-0.481890926207656,1.02516466266936
"Exp. 1","MXAV","FPF",0.539025579677623,0.207542773605358,0.331482806072265
"Exp. 1","NBDU","Strategic",0.106477017162994,-0.371291201700224,0.477768218863219
