"exp","subj","task","cond","valid_trials","n_hit","n_fa","n_miss","n_cr","n_isold","n_isnew","n_sayold","n_saynew","meanRT","medRT","roll_cond","n_rollfpf","n_isfpf","percent_fpf","raw_hr","raw_far","transform_hr","transform_far","hr","far","dpr","cri","hit_minus_fa","da","hit_plus_fa","c2","c_far"
"Exp. 1","AAWL","Strategic","Conservative",100,15,15,15,55,30,70,30,70,963.9,806,"Conservative",NA,0,NA,0.5,0.214285714285714,0,0,0.5,0.214285714285714,0.791638607743375,0.395819303871687,0.6333108861947,0.699374876422941,-0.791638607743375,0.351839381219278,0.791638607743375
"Exp. 1","AAWL","Strategic","Liberal",100,49,17,21,13,70,30,66,34,930.49,789.5,"Liberal",NA,0,NA,0.7,0.566666666666667,0,0,0.7,0.566666666666667,0.356506507919935,-0.346147258748073,0.390085308877556,0.430777159587264,0.692294517496146,-0.307686452220509,-0.167894004788105
"Exp. 1","AAWL","FPF","Conservative",200,62,38,38,62,100,100,100,100,930.545,858.5,"Conservative",NA,26,0.684210526315789,0.62,0.38,0,0,0.62,0.38,0.610961576198795,0,0.549865418578915,0.607224773094539,0,0,0.305480788099397
"Exp. 1","AAWL","FPF","Liberal",200,81,57,19,43,100,100,138,62,1095.275,952.5,"Liberal",NA,38,0.666666666666667,0.81,0.57,0,0,0.81,0.57,0.701522130270368,-0.527135229916045,0.73679696322654,0.813656130564194,1.05427045983209,-0.468564648814262,-0.176374164780861
"Exp. 1","ADDR","Strategic","Conservative",100,9,14,21,56,30,70,23,77,774.41,547.5,"Conservative",NA,0,NA,0.3,0.2,0,0,0.3,0.2,0.317220720864874,0.683010873140477,0.148896474150291,0.164428648675805,-1.36602174628095,0.607120776124869,0.841621233572914
"Exp. 1","ADDR","Strategic","Liberal",100,54,21,16,9,70,30,75,25,1123.46,857,"Liberal",NA,0,NA,0.771428571428571,0.7,0,0,0.771428571428571,0.7,0.21915924417139,-0.633980134793736,0.324039346712998,0.357841595658127,1.26796026958747,-0.563537897594432,-0.524400512708041
"Exp. 1","ADDR","FPF","Conservative",200,8,5,92,95,100,100,13,187,406.81,363,"Conservative",NA,58,0.630434782608696,0.08,0.05,0,0,0.08,0.05,0.23978206664184,1.52496259363055,-0.0891886587484541,-0.0984923969416049,-3.0499251872611,1.35552230544938,1.64485362695147
"Exp. 1","ADDR","FPF","Liberal",200,36,34,64,66,100,100,70,130,337.825,244.5,"Liberal",NA,20,0.588235294117647,0.36,0.34,0,0,0.36,0.34,0.0540043361902109,0.385460961346299,-0.02848828969807,-0.031460053066202,-0.770921922692598,0.342631965641155,0.412463129441405
"Exp. 1","ADDV","Strategic","Conservative",100,20,22,10,48,30,70,42,58,1457.6,1081.5,"Conservative",NA,0,NA,0.666666666666667,0.314285714285714,0,0,0.666666666666667,0.314285714285714,0.91446585234156,0.0265056268753229,0.81771814173234,0.903018622905899,-0.0530112537506457,0.0235605572225092,0.483738553046103
"Exp. 1","ADDV","Strategic","Liberal",100,51,15,19,15,70,30,66,34,1533.24,1294.5,"Liberal",NA,0,NA,0.728571428571429,0.5,0,0,0.728571428571429,0.5,0.608498134499883,-0.304249067249942,0.608498134499883,0.671973776065194,0.608498134499883,-0.270443615333282,0
