"exp","subj","task","cond","log_mratio","mratio","taskcond"
"Exp. 3","BFTW","FPF","Conservative",0.0281030315153305,1.0285016470458,"FPF
Conservative"
"Exp. 3","BFTW","FPF","Liberal",0.163642626813952,1.1777933281183,"FPF
Liberal"
"Exp. 3","BFTW","Strategic","Conservative",-0.028534413572809,0.971868848091276,"Strategic
Conservative"
"Exp. 3","BFTW","Strategic","Liberal",0.056285606985615,1.057899784162,"Strategic
Liberal"
"Exp. 3","BKGH","FPF","Conservative",0.0694972925787985,1.07196915892881,"FPF
Conservative"
"Exp. 3","BKGH","FPF","Liberal",-0.0652643992050954,0.936819736235838,"FPF
Liberal"
"Exp. 3","BKGH","Strategic","Conservative",0.0369770378380466,1.03766919343652,"Strategic
Conservative"
"Exp. 3","BKGH","Strategic","Liberal",0.0117170117849274,1.01178592485626,"Strategic
Liberal"
"Exp. 3","BPVX","FPF","Conservative",-0.0706149439158244,0.931820626258281,"FPF
Conservative"
"Exp. 3","BPVX","FPF","Liberal",0.00541786763695155,1.00543257082313,"FPF
Liberal"
"Exp. 3","BPVX","Strategic","Conservative",-0.00864936373478668,0.991387934399215,"Strategic
Conservative"
"Exp. 3","BPVX","Strategic","Liberal",-0.00677748749399919,0.993245427875597,"Strategic
Liberal"
"Exp. 3","BRCW","FPF","Conservative",1.30074930607368e-05,1.00001300757766,"FPF
Conservative"
"Exp. 3","BRCW","FPF","Liberal",0.0115571542382947,1.01162419616771,"FPF
Liberal"
"Exp. 3","BRCW","Strategic","Conservative",0.0174712301008168,1.0176247447683,"Strategic
Conservative"
"Exp. 3","BRCW","Strategic","Liberal",0.0147001218724159,1.01480870004903,"Strategic
Liberal"
"Exp. 3","BZGK","FPF","Conservative",-0.0364426103091079,0.964213428219099,"FPF
Conservative"
"Exp. 3","BZGK","FPF","Liberal",-0.0451279741610141,0.955875146685467,"FPF
Liberal"
"Exp. 3","BZGK","Strategic","Conservative",-0.000669114808767165,0.999331108998626,"Strategic
Conservative"
"Exp. 3","BZGK","Strategic","Liberal",0.0120915814017643,1.01216498010931,"Strategic
Liberal"
"Exp. 3","CBTN","FPF","Conservative",-0.101266257347045,0.903692386113029,"FPF
Conservative"
"Exp. 3","CBTN","FPF","Liberal",0.0198690962685327,1.02006780060509,"FPF
Liberal"
"Exp. 3","CBTN","Strategic","Conservative",-0.0449267572848369,0.956067504248643,"Strategic
Conservative"
"Exp. 3","CBTN","Strategic","Liberal",0.243998551732977,1.27634248200339,"Strategic
Liberal"
"Exp. 3","CHBN","FPF","Conservative",-0.0351263273298325,0.965483441608187,"FPF
Conservative"
"Exp. 3","CHBN","FPF","Liberal",-0.0978036983098343,0.906826897935822,"FPF
Liberal"
"Exp. 3","CHBN","Strategic","Conservative",-0.00659847228729626,0.993423249827117,"Strategic
Conservative"
"Exp. 3","CHBN","Strategic","Liberal",0.000601165844778328,1.00060134658118,"Strategic
Liberal"
"Exp. 3","CPZH","FPF","Conservative",0.00203488078271409,1.00203695255765,"FPF
Conservative"
"Exp. 3","CPZH","FPF","Liberal",-0.190287586184312,0.826721346115336,"FPF
Liberal"
"Exp. 3","CPZH","Strategic","Conservative",0.115245380511173,1.12214875722718,"Strategic
Conservative"
